collumnname,end,start,tablename,filename
RECORD TYPE INDICATOR.,5,1,AWOS1,AWOS.txt
WX SENSOR IDENT,9,6,AWOS1,
WX SENSOR TYPE,19,10,AWOS1,
COMMISSIONING STATUS,20,20,AWOS1,
COMMISSIONING/DECOMMISSIONING DATE (MM/DD/YYYY),30,21,AWOS1,
NAVAID FLAG - WX SENSOR ASSOCIATED WITH NAVAID,31,31,AWOS1,
STATION LATITUDE,45,32,AWOS1,
STATION LONGITUDE,60,46,AWOS1,
ELEVATION,67,61,AWOS1,
SURVEY METHOD CODE,68,68,AWOS1,
STATION FREQUENCY,75,69,AWOS1,
SECOND STATION FREQUENCY,82,76,AWOS1,
STATION TELEPHONE NUMBER,96,83,AWOS1,
SECOND STATION TELEPHONE NUMBER,110,97,AWOS1,
LANDING FACILITY SITE NUMBER WHEN STATION LOCATED,121,111,AWOS1,
STATION CITY,161,122,AWOS1,
STATION STATE POST OFFICE CODE (EX. IL),163,162,AWOS1,
INFORMATION EFFECTIVE DATE (MM/DD/YYYY),173,164,AWOS1,
RECORD TYPE INDICATOR.,5,1,AWOS2,
WX SENSOR IDENT,9,6,AWOS2,
WX SENSOR TYPE,19,10,AWOS2,
"ASOS/AWOS REMARKS, FREE-FORM TEXT.",255,20,AWOS2,
